着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id,horse_id,jockey_id,trainer_id,owner_id
15,6,11,フレンドオパール,牝3,51.0,小林脩斗,1:50.8,1.1/2,386.3,14.0,408(+4),[東] 南田美知,202205010605,2019103546,01183,00437,145030
16,1,2,タフトテソーロ,牡3,56.0,松山弘平,1:51.3,3,103.7,10.0,466(+6),[東] 高木登,202205010605,2019103663,01126,01088,089803
1,3,3,ポレンティア,牝5,55.0,ルメール,2:28.2,,6.0,3.0,516(-2),[東] 田中博康,202205010606,2017105144,05339,01162,506800
2,8,9,ゲンパチリベロ,牡4,56.0,武豊,2:28.4,1,4.2,2.0,498(+22),[東] 堀井雅広,202205010606,2018106588,00666,00436,689002
3,8,10,ネイチャーシップ,牡4,56.0,野中悠太,2:28.4,クビ,37.5,7.0,500(+22),[東] 根本康広,202205010606,2018102917,01158,01029,096006
4,7,8,アスクヒーロー,牡4,56.0,川田将雅,2:28.5,アタマ,1.8,1.0,500(-2),[東] 田村康仁,202205010606,2018104932,01088,01027,037803
5,4,4,エクセレントラン,セ5,54.0,横山琉人,2:28.8,2,35.8,6.0,480(+2),[東] 大江原哲,202205010606,2017105910,01192,01012,464030
6,6,6,デルマラッキーガイ,牡5,57.0,松山弘平,2:29.0,1.1/4,6.1,4.0,488(+2),[東] 小手川準,202205010606,2017104808,01126,01171,274002
7,1,1,カガジャスティス,牡5,57.0,丸田恭介,2:29.4,2,58.3,8.0,532(0),[東] 萱野浩二,202205010606,2017102491,01117,01024,700006
8,7,7,ナミブ,セ6,57.0,岩部純二,2:29.7,2,113.9,9.0,472(+10),[東] 南田美知,202205010606,2016100742,00726,00437,629800
9,2,2,レッドペルーシュ,牝5,54.0,木幡育也,2:30.5,5,20.2,5.0,428(+14),[東] 宗像義忠,202205010606,2017102665,01167,00420,180800
10,5,5,クオンタム,牝4,54.0,松岡正海,2:31.1,3.1/2,114.4,10.0,452(-2),[東] 村田一誠,202205010606,2018103206,01085,01190,629800
1,2,4,フルオール,牡3,56.0,横山武史,1:36.3,,10.1,4.0,452(+2),[東] 斎藤誠,202205010607,2019102143,01170,01086,675030
2,6,12,サクセスローレル,牡3,56.0,戸崎圭太,1:36.4,3/4,4.9,2.0,502(-4),[西] 北出成人,202205010607,2019102454,05386,01078,395803
3,6,11,コースタルテラス,牡3,56.0,津村明秀,1:36.5,クビ,38.4,8.0,500(+6),[東] 手塚貴久,202205010607,2019105344,01092,01038,790005
4,5,10,フィフティシェビー,牡3,55.0,木幡育也,1:36.5,ハナ,10.5,5.0,496(+8),[東] 藤沢和雄,202205010607,2019110074,01167,00386,196031
5,7,13,デアノヴァ,牝3,54.0,宮崎北斗,1:36.5,クビ,88.5,11.0,460(+6),[東] 伊坂重信,202205010607,2019106765,01118,01177,065803
6,3,6,タヒチアンダンス,牝3,54.0,ルメール,1:36.6,1/2,1.6,1.0,468(-4),[東] 加藤征弘,202205010607,2019104926,05339,01059,758005
7,2,3,ビヨンドザファザー,牡3,56.0,石川裕紀,1:36.8,1.1/4,9.8,3.0,504(+4),[西] 藤岡健一,202205010607,2019101613,01150,01062,072803
8,7,14,コンクエスト,牡3,56.0,三浦皇成,1:36.9,1/2,30.4,6.0,510(+24),[東] 小笠倫弘,202205010607,2019100657,01122,01076,041002
9,4,7,グローリー,牡3,56.0,丸田恭介,1:37.3,2.1/2,81.3,10.0,468(0),[東] 佐藤吉勝,202205010607,2019106238,01117,01035,832008
10,1,1,ミヤビクライ,牡3,53.0,横山琉人,1:37.4,クビ,142.2,13.0,478(0),[東] 小島茂之,202205010607,2019106118,01192,01068,127002
11,1,2,ムーヴ,牡3,56.0,武豊,1:37.5,1/2,147.8,14.0,450(-6),[東] 池上昌和,202205010607,2019101759,00666,01150,245030
12,4,8,ミツカネヴィーナス,牝3,54.0,松山弘平,1:37.8,2,69.7,9.0,456(-2),[東] 鈴木伸尋,202205010607,2019100844,01126,01026,006803
13,8,15,ノクターナリティ,牡3,56.0,北村宏司,1:38.0,1.1/4,243.3,15.0,474(-4),[東] 上原博之,202205010607,2019101906,01043,00423,003060
14,5,9,センタースリール,牝3,54.0,野中悠太,1:38.1,1/2,266.3,16.0,468(+2),[東] 本間忍,202205010607,2019101819,01158,01056,375006
15,3,5,シンボリックレルム,牝3,54.0,岩田康誠,1:39.2,7,121.4,12.0,484(0),[東] 水野貴広,202205010607,2019104958,05203,01094,310007
16,8,16,セイウンプラチナ,牡3,56.0,田辺裕信,1:39.9,4,34.2,7.0,496(+4),[東] 小桧山悟,202205010607,2019102628,01075,01005,897009
1,2,3,アヴェラーレ,牝4,55.0,ルメール,1:34.7,,2.6,1.0,450(+10),[東] 木村哲也,202205010608,2018104910,05339,01126,506800
2,4,7,イズンシーラブリー,牝4,55.0,横山武史,1:34.8,1/2,4.5,2.0,422(0),[東] 加藤征弘,202205010608,2018104765,01170,01059,063803
3,4,8,ユキノファラオ,牡4,57.0,田辺裕信,1:34.8,クビ,25.1,8.0,486(-2),[東] 石毛善彦,202205010608,2018104347,01075,00428,623005
4,7,14,チアチアクラシカ,牝5,55.0,武豊,1:35.0,1.1/4,11.6,6.0,506(-6),[東] 堀井雅広,202205010608,2017100041,00666,00436,491030
5,3,5,スリートップキズナ,牡4,57.0,石橋脩,1:35.2,1.1/4,7.9,5.0,456(+2),[東] 伊藤圭三,202205010608,2018103729,01077,01023,061800
6,5,10,エクレアスピード,セ6,57.0,江田照男,1:35.2,アタマ,102.0,10.0,478(+10),[東] 大和田成,202205010608,2016100097,00689,01124,008060
7,6,11,アオイシンゴ,セ8,57.0,内田博幸,1:35.3,1/2,7.6,4.0,514(+8),[東] 古賀慎明,202205010608,2014105531,00422,01079,443033
8,1,1,ジュンブルースカイ,牡4,57.0,川田将雅,1:35.4,3/4,5.4,3.0,456(0),[西] 友道康夫,202205010608,2018105085,01088,01061,165033
9,6,12,ラキャラントシス,牝5,55.0,津村明秀,1:35.6,1.1/4,100.0,9.0,484(+4),[東] 鈴木伸尋,202205010608,2017104345,01092,01026,250800
10,8,16,ショーヒデキラ,牡6,57.0,三浦皇成,1:35.9,1.1/2,25.0,7.0,500(+8),[東] 鈴木伸尋,202205010608,2016102080,01122,01026,905033
11,7,13,ウインメルシー,牝6,55.0,松山弘平,1:36.0,1/2,119.3,11.0,484(0),[東] 鈴木伸尋,202205010608,2016100232,01126,01026,494800
12,8,15,ライクアジュエリー,牝5,55.0,吉田豊,1:36.3,1.3/4,155.9,13.0,460(0),[東] 戸田博文,202205010608,2017104994,00733,01054,831800
13,5,9,オータムレッド,牝5,55.0,嶋田純次,1:36.4,1/2,324.7,14.0,460(-2),[東] 手塚貴久,202205010608,2017105429,01134,01038,831800
14,3,6,ニシノアジャスト,牡4,57.0,大野拓弥,1:36.7,2,145.1,12.0,548(+14),[東] 小手川準,202205010608,2018102287,01096,01171,897009
15,1,2,コスモヨハネ,牡10,57.0,柴田大知,1:36.9,1.1/2,332.0,15.0,492(+2),[東] 高橋裕,202205010608,2012102070,01009,00412,716800
16,2,4,サイモンジルバ,牝7,55.0,丸山元気,1:38.1,7,365.7,16.0,468(-5),[東] 根本康広,202205010608,2015103377,01127,01029,132030
1,8,15,メイサウザンアワー,牝4,54.0,横山武史,1:48.7,,6.4,3.0,518(+4),[東] 尾関知人,202205010609,2018105152,01170,01103,075800
2,7,12,ククナ,牝4,54.0,ルメール,1:48.7,アタマ,2.7,1.0,468(+20),[東] 栗田徹,202205010609,2018105008,05339,01127,486800
3,1,1,ライティア,牝5,55.0,川田将雅,1:48.7,ハナ,7.1,4.0,434(+8),[西] 池添学,202205010609,2017105354,01088,01144,486800
4,4,7,モリノカンナチャン,牝4,54.0,三浦皇成,1:48.9,1.1/2,28.8,9.0,448(-2),[東] 大江原哲,202205010609,2018105722,01122,01012,698033
5,8,14,イズジョーノキセキ,牝5,55.0,岩田康誠,1:49.0,アタマ,3.4,2.0,468(+6),[西] 石坂公一,202205010609,2017102294,05203,01166,897030
6,3,5,フィオリキアリ,牝5,55.0,石川裕紀,1:49.0,クビ,32.8,10.0,448(+2),[西] 清水久詞,202205010609,2017101797,01150,01110,754033
7,6,10,ヤマニンデンファレ,牝4,54.0,江田照男,1:49.0,ハナ,19.6,6.0,484(0),[東] 辻哲英,202205010609,2018102009,00689,01182,329004
8,3,4,バルトリ,牝5,55.0,北村宏司,1:49.2,1.1/4,24.7,7.0,454(-6),[東] 藤沢和雄,202205010609,2017106612,01043,00386,003060
9,6,11,ヴィオリーナ,牝5,55.0,戸崎圭太,1:49.2,クビ,17.6,5.0,464(+2),[西] 中内田充,202205010609,2017102394,05386,01137,170800
10,2,2,オハナ,牝7,55.0,松山弘平,1:49.3,クビ,134.0,12.0,456(+18),[東] 堀宣行,202205010609,2015104456,01126,01070,708800
11,5,8,セリユーズ,牝6,55.0,内田博幸,1:49.4,3/4,38.8,11.0,518(+16),[東] 国枝栄,202205010609,2016104638,00422,00399,506800
12,2,3,リーピングリーズン,牝6,55.0,石橋脩,1:49.4,ハナ,269.0,15.0,514(-4),[西] 吉岡辰弥,202205010609,2016103022,01077,01176,854800
13,4,6,セイウンヴィーナス,牝5,55.0,野中悠太,1:49.6,1.1/4,232.5,14.0,482(+4),[東] 本間忍,202205010609,2017105893,01158,01056,897009
14,7,13,ジョディー,牝6,55.0,吉田豊,1:50.8,7,151.4,13.0,512(+10),[東] 戸田博文,202205010609,2016104858,00733,01054,166033
15,5,9,パラスアテナ,牝5,55.0,大野拓弥,1:51.0,1.1/2,28.4,8.0,456(+16),[東] 高柳瑞樹,202205010609,2017103441,01096,01118,553800
1,1,1,メイショウウズマサ,牡6,57.0,岩田康誠,1:22.2,,8.2,4.0,504(0),[西] 安田隆行,202205010610,2016102177,05203,00438,523005
2,2,4,ケイアイターコイズ,牡6,57.0,内田博幸,1:22.2,クビ,18.8,8.0,528(+2),[西] 新谷功一,202205010610,2016100546,00422,01172,331803
3,5,10,サンライズラポール,牡5,57.0,武豊,1:22.4,1,16.0,7.0,516(+8),[西] 平田修,202205010610,2017100358,00666,01082,306008
4,6,12,ボンディマンシュ,セ6,57.0,川田将雅,1:22.4,クビ,6.8,3.0,504(+4),[西] 中内田充,202205010610,2016104822,01088,01137,506800
5,8,16,フルデプスリーダー,牡5,57.0,横山武史,1:22.7,1.3/4,3.8,2.0,500(+12),[東] 斎藤誠,202205010610,2017102175,01170,01086,268008
6,1,2,サヴァ,牡4,57.0,松山弘平,1:22.7,クビ,10.4,5.0,530(-6),[西] 上村洋行,202205010610,2018103223,01126,01168,260006
7,3,5,アーバンイェーガー,牡8,57.0,吉田豊,1:23.0,1.1/2,54.9,11.0,526(+4),[東] 高橋文雅,202205010610,2014102562,00733,01134,555031
8,2,3,ゲンパチフォルツァ,牡4,56.0,津村明秀,1:23.2,1.1/2,50.6,10.0,522(+8),[東] 堀井雅広,202205010610,2018104145,01092,00436,689002
9,4,8,トウカイエトワール,牡5,57.0,石川裕紀,1:23.3,1/2,106.6,15.0,512(-2),[西] 茶木太樹,202205010610,2017102572,01150,01181,695004
10,3,6,コパノマーキュリー,牡5,57.0,田辺裕信,1:23.4,クビ,26.1,9.0,512(+2),[西] 村山明,202205010610,2017106018,01075,01107,966007
11,8,15,シャイニーブランコ,牡6,57.0,北村宏司,1:23.4,クビ,67.7,12.0,456(+2),[西] 小林真也,202205010610,2016104000,01043,01185,531006
12,7,13,イモータルスモーク,牡5,57.0,石橋脩,1:23.6,1.1/4,86.5,13.0,520(+2),[東] 金成貴史,202205010610,2017110088,01077,01132,086803
13,4,7,シーズンズギフト,牝5,54.0,野中悠太,1:24.0,2.1/2,105.7,14.0,498(+6),[東] 黒岩陽一,202205010610,2017105366,01158,01133,486800
14,6,11,コラルノクターン,牡5,57.0,戸崎圭太,1:24.3,2,11.8,6.0,514(0),[西] 藤原英昭,202205010610,2017110174,05386,01055,766800
15,7,14,クロパラントゥ,セ4,56.0,ルメール,1:24.3,クビ,3.2,1.0,522(-2),[東] 藤沢和雄,202205010610,2018104121,05339,00386,196031
16,5,9,バーナードループ,牡5,57.0,大野拓弥,1:24.4,1/2,228.6,16.0,528(+4),[東] 高木登,202205010610,2017104791,01096,01088,415800
1,8,10,ダノンベルーガ,牡3,56.0,松山弘平,1:47.9,,3.9,3.0,502(+4),[東] 堀宣行,202205010611,2019105195,01126,01070,619800
2,5,5,ジオグリフ,牡3,57.0,ルメール,1:48.1,1.1/2,3.4,1.0,498(+2),[東] 木村哲也,202205010611,2019105056,05339,01126,226800
3,7,8,ビーアストニッシド,牡3,56.0,岩田康誠,1:48.3,1.1/2,29.8,8.0,470(+4),[西] 飯田雄三,202205010611,2019101348,05203,01050,666030
4,7,9,ジュンブロッサム,牡3,56.0,武豊,1:48.5,3/4,20.2,6.0,474(+18),[西] 友道康夫,202205010611,2019105118,00666,01061,165033
5,2,2,アサヒ,牡3,56.0,田辺裕信,1:48.7,1.1/4,3.5,2.0,510(+12),[東] 金成貴史,202205010611,2019105482,01075,01132,098803
6,6,7,レッドモンレーヴ,牡3,56.0,戸崎圭太,1:48.7,アタマ,22.9,7.0,490(-4),[東] 藤沢和雄,202205010611,2019105496,05386,00386,180800
7,8,11,ダノンスコーピオン,牡3,56.0,川田将雅,1:48.8,3/4,5.3,4.0,458(0),[西] 安田隆行,202205010611,2019103034,01088,00438,619800
8,3,3,アバンチュリエ,牡3,56.0,横山武史,1:49.1,2,41.4,9.0,464(-2),[東] 大竹正博,202205010611,2019105347,01170,01102,026803
9,6,6,アケルナルスター,牡3,56.0,柴田大知,1:49.2,1/2,16.2,5.0,454(0),[東] 清水英克,202205010611,2019105792,01009,01080,201033
10,1,1,サンストックトン,牡3,56.0,松岡正海,1:49.3,3/4,55.1,10.0,464(+6),[東] 鹿戸雄一,202205010611,2019101422,01085,01097,059803
11,4,4,エイシンシュトルム,牡3,56.0,石川裕紀,1:49.5,1.1/4,165.5,11.0,492(+5),[東] 勢司和浩,202205010611,2019103451,01150,01047,785800
1,1,2,マイヨアポア,牝4,52.0,小林脩斗,1:23.6,,4.3,1.0,470(+4),[東] 和田正一,202205010612,2018101728,01183,01114,911800
2,3,5,アラゴナイト,牝4,55.0,田辺裕信,1:23.7,クビ,5.5,2.0,460(+4),[東] 加藤和宏,202205010612,2018101214,01075,01077,260007
3,7,13,ロゼキルシュ,牝5,55.0,松山弘平,1:23.8,1,12.7,7.0,490(0),[西] 杉山晴紀,202205010612,2017103831,01126,01157,018803
4,6,12,コモレビキラリ,牝4,55.0,野中悠太,1:23.9,1/2,5.5,3.0,476(+2),[東] 根本康広,202205010612,2018104640,01158,01029,192031
5,5,9,トゥインクルリーフ,牝6,55.0,大野拓弥,1:24.0,3/4,34.2,10.0,462(-4),[西] 吉岡辰弥,202205010612,2016105433,01096,01176,854800
6,2,4,チャペルレーン,牝4,55.0,横山武史,1:24.1,1/2,8.7,5.0,458(+2),[東] 尾形和幸,202205010612,2018102587,01170,01141,170800
7,4,8,ティケイプルメリア,牝5,55.0,伊藤工真,1:24.4,1.1/2,11.0,6.0,462(0),[東] 林徹,202205010612,2017102766,01119,01163,365030
8,2,3,マイステージ,牝4,55.0,松岡正海,1:24.5,3/4,16.9,8.0,440(-2),[東] 伊藤伸一,202205010612,2018105877,01085,01031,609009
9,6,11,モリノカワセミ,牝6,55.0,江田照男,1:24.5,クビ,30.2,9.0,466(0),[東] 大江原哲,202205010612,2016103729,00689,01012,698033
10,8,16,ベルクワイア,牝6,55.0,石川裕紀,1:24.8,2,5.9,4.0,524(+6),[東] 国枝栄,202205010612,2016104515,01150,00399,486800
11,3,6,アラゴネーゼ,牝6,55.0,北村宏司,1:24.9,クビ,67.2,14.0,520(+30),[東] 和田正一,202205010612,2016104692,01043,01114,808800
12,7,14,リワードノルン,牝6,55.0,田中勝春,1:25.0,1/2,61.5,13.0,484(+12),[東] 村田一誠,202205010612,2016102259,00684,01190,988002
13,5,10,ハナブショウ,牝6,52.0,横山琉人,1:25.3,1.1/2,109.5,16.0,462(-6),[東] 相沢郁,202205010612,2016100467,01192,01020,321004
14,1,1,ドリームジャンボ,牝7,55.0,岩部純二,1:25.8,3,99.5,15.0,488(-6),[東] 南田美知,202205010612,2015100670,00726,00437,629800
15,4,7,イベリスリーフ,牝6,55.0,石橋脩,1:26.0,1.1/2,48.2,11.0,468(+2),[東] 中舘英二,202205010612,2016104464,01077,01153,226800
16,8,15,カラーズオブラヴ,牝5,55.0,武士沢友,1:26.7,4,58.2,12.0,478(-6),[東] 和田勇介,202205010612,2017102525,01029,01165,055700
1,4,4,コパノフランシス,牝3,54.0,岩田望来,1:13.8,,5.7,3.0,472(-4),[西] 渡辺薫彦,202209010201,2019103928,01174,01155,966007
2,6,8,ハリーオンダウン,牝3,54.0,坂井瑠星,1:13.8,クビ,4.3,2.0,452(+2),[西] 高野友和,202209010201,2019103766,01163,01117,943030
3,2,2,ニホンピロクリーク,牝3,54.0,国分優作,1:13.8,ハナ,2.3,1.0,472(-4),[西] 大橋勇樹,202209010201,2019106083,01125,01065,587031
4,7,11,ソーメニーサンクス,牝3,54.0,長岡禎仁,1:14.8,6,159.6,12.0,432(-6),[東] 深山雅史,202209010201,2019104251,01142,01174,629800
5,3,3,ゴッドハニービー,牝3,54.0,団野大成,1:15.1,1.3/4,18.0,6.0,434(-6),[西] 角田晃一,202209010201,2019105619,01180,01121,998007
6,4,5,アクアヒナ,牝3,54.0,鮫島克駿,1:15.1,クビ,20.2,7.0,488(-2),[西] 新谷功一,202209010201,2019100873,01157,01172,463031
7,5,6,ハクサンメモリー,牝3,50.0,永島まな,1:15.5,2,82.6,9.0,432(+8),[西] 高橋康之,202209010201,2019106729,01187,01135,841030
8,6,9,メイショウベレー,牝3,54.0,幸英明,1:15.7,1.1/4,45.3,8.0,434(-8),[西] 藤沢則雄,202209010201,2019102825,00732,01041,523005
9,8,12,タマモエストレジャ,牝3,54.0,国分恭介,1:15.9,1.1/4,161.6,13.0,478(-2),[西] 池添兼雄,202209010201,2019105858,01124,01021,515800
10,8,13,ファンタジックラン,牝3,54.0,秋山真一,1:16.1,1.1/4,5.7,4.0,448(+12),[西] 飯田祐史,202209010201,2019104869,01019,01139,415800
11,1,1,ヨシノエトワール,牝3,54.0,和田竜二,1:16.2,1/2,91.5,10.0,478(-8),[西] 吉田直弘,202209010201,2019100947,01018,01101,728033
12,7,10,ディガスト,牝3,54.0,藤岡康太,1:16.8,3.1/2,12.6,5.0,442(-2),[西] 小林真也,202209010201,2019104578,01116,01185,221007
13,5,7,ビーガール,牝3,54.0,酒井学,1:17.6,5,116.0,11.0,416(-10),[西] 西園正都,202209010201,2019106348,01034,01028,994002
1,5,6,ブリヨンカズマ,牡3,56.0,岩田望来,1:57.2,,10.4,4.0,512(-6),[西] 高柳大輔,202209010202,2019105262,01174,01159,879800
2,7,10,キングクー,牡3,56.0,Ｍ．デム,1:57.2,クビ,5.3,3.0,500(+2),[西] 武幸四郎,202209010202,2019102321,05212,01160,484031
3,7,9,アトランティス,牡3,56.0,横山典弘,1:57.2,ハナ,2.1,1.0,498(0),[西] 安田翔伍,202209010202,2019104593,00660,01164,849030
4,6,7,ニシノメイタンテイ,牡3,56.0,福永祐一,1:57.6,2.1/2,2.5,2.0,492(0),[西] 浅見秀一,202209010202,2019101380,01014,00411,897009
5,1,1,キタノダロマ,牡3,56.0,高倉稜,1:58.2,3.1/2,389.9,12.0,460(-2),[西] 吉田直弘,202209010202,2019101243,01130,01101,163002
6,2,2,サダムパッション,牡3,56.0,藤懸貴志,1:58.3,クビ,252.1,10.0,518(+4),[西] 平田修,202209010202,2019105923,01138,01082,420033
7,3,3,クロガネ,牡3,56.0,幸英明,1:58.5,1.1/4,20.9,5.0,476(-2),[西] 寺島良,202209010202,2019101672,00732,01158,248030
8,8,11,タボン,牡3,56.0,国分優作,1:58.8,1.3/4,109.9,9.0,480(0),[西] 安達昭夫,202209010202,2019100337,01125,01042,066700
9,8,12,デルマオベロン,牡3,56.0,荻野琢真,1:59.4,3.1/2,258.4,11.0,452(+5),[西] 牧田和弥,202209010202,2019105836,01112,01123,274002
10,6,8,メイショウクモジ,牡3,56.0,太宰啓介,1:59.6,1.1/2,88.6,8.0,476(+12),[西] 木原一良,202209010202,2019102567,01037,01033,523005
11,5,5,ホシハタノキセキ,牡3,56.0,酒井学,1:59.8,1,49.1,7.0,436(-4),[西] 飯田祐史,202209010202,2019102588,01034,01139,057803
12,4,4,ボードメンバー,牡3,56.0,小崎綾也,1:59.8,クビ,40.3,6.0,508(+8),[西] 西村真幸,202209010202,2019102035,01152,01148,271008
1,8,13,メイショウキッド,牡3,56.0,横山典弘,1:26.0,,1.3,1.0,500(+6),[西] 本田優,202209010203,2019102824,00660,01099,523005
2,8,14,リッキーヤスオカ,牡3,56.0,坂井瑠星,1:26.6,3.1/2,6.7,2.0,512(-4),[西] 小崎憲,202209010203,2019101673,01163,01085,072803
3,2,2,クリノミニスター,牡3,56.0,太宰啓介,1:26.8,3/4,65.5,10.0,466(0),[西] 荒川義之,202209010203,2019103285,01037,01095,488007
4,3,4,エバニスタ,牡3,56.0,鮫島良太,1:27.0,1.1/4,52.1,9.0,474(-8),[西] 角田晃一,202209010203,2019102413,01099,01121,078006
5,3,3,ゲイボルグ,牡3,56.0,荻野琢真,1:27.0,クビ,11.2,3.0,494(-2),[西] 平田修,202209010203,2019105269,01112,01082,790005
6,6,9,マスタープラン,牡3,56.0,和田竜二,1:27.1,クビ,19.8,5.0,526(+6),[西] 角田晃一,202209010203,2019104060,01018,01121,346803
7,4,6,サイモンカーチス,牡3,52.0,永島まな,1:27.6,3,279.9,14.0,486(+8),[西] 梅田智之,202209010203,2019102320,01187,01084,132030
8,7,11,フレイムジョーカー,牡3,56.0,Ｍ．デム,1:27.6,クビ,46.2,8.0,500(-4),[東] 中川公成,202209010203,2019105745,05212,01081,854800
9,5,8,スカイウィッチ,牝3,54.0,岩田望来,1:28.1,3,17.8,4.0,432(-2),[西] 寺島良,202209010203,2019105699,01174,01158,178033
10,1,1,キャンディボイス,牡3,56.0,斎藤新,1:28.2,クビ,123.7,11.0,532(0),[西] 浜田多実,202209010203,2019104934,01178,01138,781006
11,4,5,ハピネスガッサン,牝3,54.0,幸英明,1:28.3,1/2,32.8,7.0,426(+4),[東] 田島俊明,202209010203,2019103934,00732,01112,099007
12,6,10,ランビリズマ,牝3,54.0,国分優作,1:29.1,5,179.9,12.0,494(0),[東] 加藤士津,202209010203,2019106544,01125,01169,716800
13,7,12,ワーキングスタイル,牝3,54.0,池添謙一,1:29.5,2,31.2,6.0,432(-12),[東] 田中博康,202209010203,2019104619,01032,01162,415800
14,5,7,メタバース,牝3,54.0,中井裕二,1:32.8,大,215.6,13.0,490(-14),[東] 大江原哲,202209010203,2019103097,01141,01012,855030
1,3,6,エルデスペラード,牡3,56.0,幸英明,1:57.0,,12.4,5.0,430(0),[西] 橋口慎介,202209010204,2019100953,00732,01154,065803
2,6,12,テイエムサンボーイ,牡3,56.0,国分優作,1:57.6,3.1/2,56.2,10.0,534(0),[西] 坂口智康,202209010204,2019100375,01125,01170,356002
3,7,13,チェリーオントップ,牝3,54.0,和田竜二,1:57.8,1.1/2,5.8,3.0,452(0),[西] 友道康夫,202209010204,2019105635,01018,01061,346031
4,7,14,ルージュディザイア,牝3,54.0,岩田望来,1:58.4,3.1/2,13.0,6.0,470(0),[西] 笹田和秀,202209010204,2019104834,01174,01104,180800
5,1,1,エスケイカイザー,牡3,56.0,太宰啓介,1:58.4,ハナ,67.2,12.0,516(0),[西] 畑端省吾,202209010204,2019102591,01037,01188,139031
6,1,2,ウォータールグラン,牝3,54.0,斎藤新,1:58.7,1.3/4,3.0,1.0,494(0),[西] 河内洋,202209010204,2019102786,01178,01072,312006
7,8,15,メイショウトロント,牡3,56.0,坂井瑠星,1:58.8,1/2,3.5,2.0,496(0),[西] 飯田祐史,202209010204,2019102592,01163,01139,523005
8,3,5,エイミーバローズ,牝3,54.0,団野大成,1:58.9,クビ,6.4,4.0,454(0),[西] 松下武士,202209010204,2019101750,01180,01149,859007
9,5,10,レーダーベクター,牡3,56.0,水口優也,1:59.0,1/2,223.4,16.0,464(0),[西] 牧田和弥,202209010204,2019104220,01133,01123,851007
10,2,3,オレオールシチー,牡3,56.0,藤岡康太,1:59.1,3/4,64.5,11.0,442(0),[西] 牧田和弥,202209010204,2019103217,01116,01123,321800
11,5,9,テイエムラヴィータ,牡3,56.0,中井裕二,1:59.2,1/2,109.4,13.0,540(0),[西] 飯田雄三,202209010204,2019100128,01141,01050,356002
12,2,4,ケイアイギャラクシ,牡3,56.0,藤懸貴志,1:59.2,アタマ,53.5,9.0,558(0),[西] 宮本博,202209010204,2019100317,01138,01073,331803
13,6,11,テーオーインパクト,牡3,56.0,鮫島良太,1:59.7,3,30.1,7.0,516(0),[西] 宮徹,202209010204,2019100353,01099,01018,304008
14,8,16,ベイクルーズ,牡3,56.0,酒井学,1:59.8,クビ,36.3,8.0,478(0),[西] 須貝尚介,202209010204,2019101932,01034,01105,882800
15,4,8,ヒロシゲローズ,牝3,54.0,国分恭介,2:00.1,2,117.4,14.0,458(0),[西] 茶木太樹,202209010204,2019105850,01124,01181,083803
16,4,7,メイショウヤマジロ,牡3,56.0,荻野琢真,2:01.2,7,148.2,15.0,540(0),[西] 梅田智之,202209010204,2019106213,01112,01084,523005
1,2,2,ディオ,牡3,56.0,岩田望来,1:35.4,,1.8,1.0,486(+6),[西] 辻野泰之,202209010205,2019101609,01174,01183,248030
2,6,8,メイショウソラフネ,牡3,56.0,団野大成,1:35.8,2.1/2,40.5,9.0,442(-4),[西] 石橋守,202209010205,2019103714,01180,01140,523005
3,4,4,バルタザール,牡3,56.0,和田竜二,1:35.8,ハナ,12.7,4.0,490(+4),[西] 茶木太樹,202209010205,2019103891,01018,01181,097803
4,4,5,メジャークオリティ,牡3,56.0,幸英明,1:35.8,ハナ,26.2,7.0,488(0),[西] 西園正都,202209010205,2019104913,00732,01028,415800
5,7,11,コスタボニータ,牝3,54.0,藤岡康太,1:36.0,1,4.0,2.0,456(+2),[西] 杉山佳明,202209010205,2019104968,01116,01178,727008
6,3,3,ボルザコフスキー,牡3,56.0,坂井瑠星,1:36.4,2.1/2,18.6,5.0,500(+2),[西] 清水久詞,202209010205,2019100684,01163,01110,689033
7,1,1,アンブロジアーナ,牝3,51.0,服部寿希,1:36.4,アタマ,85.7,10.0,414(+4),[西] 中竹和也,202209010205,2019100620,01172,01039,944030
8,6,9,ダノンフォーナイン,牡3,56.0,鮫島克駿,1:36.5,1/2,18.8,6.0,504(+2),[西] 音無秀孝,202209010205,2019106347,01157,01002,619800
9,8,13,セントカメリア,牝3,54.0,福永祐一,1:36.5,ハナ,5.8,3.0,440(+4),[西] 高野友和,202209010205,2019105040,01014,01117,506800
10,5,6,テーオーコンドル,セ3,56.0,鮫島良太,1:36.9,2.1/2,35.2,8.0,476(+8),[西] 宮徹,202209010205,2019104963,01099,01018,304008
11,5,7,ルシャドール,牝3,54.0,斎藤新,1:36.9,クビ,205.0,11.0,418(-2),[西] 中尾秀正,202209010205,2019103326,01178,01069,053803
12,8,12,ヴェルデヴェント,牝3,54.0,藤井勘一,1:37.5,4,552.6,12.0,438(0),[東] 鈴木慎太,202209010205,2019101795,05525,01179,153033
13,7,10,スキューマパーラ,牝3,54.0,中井裕二,1:37.8,2,687.9,13.0,424(-8),[西] 長谷川浩,202209010205,2019102598,01141,01173,117800
1,6,6,ショウナンアデイブ,牡3,56.0,池添謙一,2:00.9,,2.0,1.0,496(-2),[西] 高野友和,202209010206,2019105239,01032,01117,331002
